Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.28/Reshape_1,Reshape,0,0.00%,13056000,0.45%,0,0.00%,1x3x80x80x85,1x19200x85
/model.28/m.1/Conv,Conv,418608000,0.26%,3787260,0.13%,130815,0.21%,1x512x40x40,1x255x40x40
/model.28/Reshape_2,Reshape,0,0.00%,3264000,0.11%,0,0.00%,1x255x40x40,1x3x85x40x40
/model.28/Transpose_1,Transpose,0,0.00%,3264000,0.11%,0,0.00%,1x3x85x40x40,1x3x40x40x85
/model.28/Sigmoid_1,Sigmoid,26112000,0.02%,3264000,0.11%,0,0.00%,1x3x40x40x85,1x3x40x40x85
/model.28/Split_1,Split,0,0.00%,3264000,0.11%,0,0.00%,1x3x40x40x85,1x3x40x40x2
/model.28/Mul_4,Mul,19200,0.00%,76800,0.00%,0,0.00%,1x3x40x40x2,1x3x40x40x2
/model.28/Add_1,Add,19200,0.00%,76800,0.00%,0,0.00%,1x3x40x40x2,1x3x40x40x2
/model.28/Mul_5,Mul,19200,0.00%,76800,0.00%,0,0.00%,1x3x40x40x2,1x3x40x40x2
/model.28/Mul_6,Mul,19200,0.00%,76800,0.00%,0,0.00%,1x3x40x40x2,1x3x40x40x2
/model.28/Pow_1,Pow,614400,0.00%,76800,0.00%,0,0.00%,1x3x40x40x2,1x3x40x40x2
/model.28/Mul_7,Mul,19200,0.00%,76800,0.00%,0,0.00%,1x3x40x40x2,1x3x40x40x2
/model.28/Concat_1,Concat,0,0.00%,3264000,0.11%,0,0.00%,1x3x40x40x2,1x3x40x40x85
/model.28/Reshape_3,Reshape,0,0.00%,3264000,0.11%,0,0.00%,1x3x40x40x85,1x4800x85
/model.28/m.2/Conv,Conv,209100000,0.13%,1861500,0.06%,261375,0.42%,1x1024x20x20,1x255x20x20
/model.28/Reshape_4,Reshape,0,0.00%,816000,0.03%,0,0.00%,1x255x20x20,1x3x85x20x20
/model.28/Transpose_2,Transpose,0,0.00%,816000,0.03%,0,0.00%,1x3x85x20x20,1x3x20x20x85
/model.28/Sigmoid_2,Sigmoid,6528000,0.00%,816000,0.03%,0,0.00%,1x3x20x20x85,1x3x20x20x85
/model.28/Split_2,Split,0,0.00%,816000,0.03%,0,0.00%,1x3x20x20x85,1x3x20x20x2
/model.28/Mul_8,Mul,4800,0.00%,19200,0.00%,0,0.00%,1x3x20x20x2,1x3x20x20x2
/model.28/Add_2,Add,4800,0.00%,19200,0.00%,0,0.00%,1x3x20x20x2,1x3x20x20x2
/model.28/Mul_9,Mul,4800,0.00%,19200,0.00%,0,0.00%,1x3x20x20x2,1x3x20x20x2
/model.28/Mul_10,Mul,4800,0.00%,19200,0.00%,0,0.00%,1x3x20x20x2,1x3x20x20x2
/model.28/Pow_2,Pow,153600,0.00%,19200,0.00%,0,0.00%,1x3x20x20x2,1x3x20x20x2
/model.28/Mul_11,Mul,4800,0.00%,19200,0.00%,0,0.00%,1x3x20x20x2,1x3x20x20x2
/model.28/Concat_2,Concat,0,0.00%,816000,0.03%,0,0.00%,1x3x20x20x2,1x3x20x20x85
/model.28/Reshape_5,Reshape,0,0.00%,816000,0.03%,0,0.00%,1x3x20x20x85,1x1200x85
/model.28/Concat_3,Concat,0,0.00%,17136000,0.59%,0,0.00%,1x19200x85,1x25200x85
Total,_,1.63233E+11,100%,2897327956,100%,62971933,100%,_,_
